DefaultSC.ElapsedSecs   DefaultSC.SSBMJ2000Ec.X   DefaultSC.SSBMJ2000Ec.Y   DefaultSC.SSBMJ2000Ec.Z   DefaultSC.SSBMJ2000Ec.VX   DefaultSC.SSBMJ2000Ec.VY   DefaultSC.SSBMJ2000Ec.VZ   
0                       -27566632.30887338        144279062.6478545         30226.40653969348         -29.78494750260236         -5.48211967955814          1.841143963465797e-05      
27000                   -28370426.85424176        144128839.6425126         30227.89971235395         -29.75523163229609         -5.645488261275784         9.198633800622247e-05      
54000                   -29173406.30716285        143974207.5089633         30231.36140844971         -29.72457016847283         -5.808720473367286         0.0001641844308206686      
81000                   -29975545.12795946        143815170.0342355         30236.75095892698         -29.69296249609579         -5.971808529993897         0.000234748015810915       
108000                  -30776817.76238116        143651731.2159549         30244.02083304524         -29.66040814948362         -6.134744616669506         0.0003034264630397132      
135000                  -31577198.64559309        143483895.2631559         30253.1168250218          -29.62690681005951         -6.297520887492853         0.0003699759158335425      
162000                  -32376662.20613673        143311666.5971671         30263.97823435068         -29.59245830579711         -6.460129462469354         0.0004341591252665644      
189000                  -33175182.86988746        143135049.8525658         30276.53804355115         -29.55706261220837         -6.62256242518142          0.0004957454199212563      
216000                  -33972735.06410419        142954049.8781785         30290.72309680283         -29.52071985469271         -6.784811821042856         0.0005545108089646256      
243000                  -34769293.22146564        142768671.7381395         30306.45428320766         -29.48343031205857         -6.946869656294672         0.0006102382132784356      
270000                  -35564831.78430814        142578920.712943          30323.64672781527         -29.44519442100152         -7.108727897927433         0.0006627178164224645      
297000                  -36359325.20894834        142384802.3004954         30342.20999377966         -29.40601278132987         -7.270378474610627         0.0007117475246465332      
324000                  -37152747.97015486        142186322.2171271         30362.04829809815         -29.36588616171781         -7.431813278709201         0.0007571335229759058      
351000                  -37945074.56582585        141983486.3985236         30383.06074366719         -29.32481550576844         -7.593024169429818         0.0007986909126111996      
378000                  -38736279.5217401         141776301.0005801         30405.14156928659         -29.2828019381862          -7.754002977065727         0.0008362444136706948      
405000                  -39526337.39656609        141564772.4001027         30428.18041948229         -29.23984677085543         -7.914741508340628         0.000869629116481363       
432000                  -40315222.786986          141348907.1953641         30452.06263501942         -29.19595150865695         -8.075231552755154         0.0008986912645165823      
459000                  -41102910.33298052        141128712.206472          30476.66956473142         -29.15111785486837         -8.235464889851823         0.0009232890524248916      
486000                  -41889374.72324344        140904194.4755337         30501.87889905274         -29.1053477160266          -8.39543329727719          0.0009432934237127988      
513000                  -42674590.70076484        140675361.2665801         30527.56502486765         -29.05864320615866         -8.555128559518773         0.000958588854174991       
540000                  -43458533.06842795        140442220.0652729         30553.59940110892         -29.01100665033325         -8.714542477145937         0.0009690741094519062      
567000                  -44241176.69478384        140204778.5783309         30579.85095451027         -28.96244058750308         -8.873666876447564         0.0009746629677347407      
594000                  -45022496.51983865        139963044.7327075         30606.18649417162         -28.91294777266378         -9.032493619298464         0.000975284901771456       
621000                  -45802467.56094505        139717026.6744846         30632.47114408016         -28.8625311783741          -9.191014613153287         0.0009708857177312957      
648000                  -46581064.91863611        139466732.7675231         30658.56879225373         -28.81119399572997         -9.349221821037116         0.0009614281520344825      
675000                  -47358263.78257022        139212171.5918172         30684.34255550057         -28.75893963489353         -9.507107271519406         0.000946892431525459       
702000                  -48134039.43743099        138953351.9415977         30709.65525881201         -28.70577172529851         -9.664663068512388         0.0009272767998074194      
729000                  -48908367.26888485        138690282.8231522         30734.36992881447         -28.65169411570645         -9.821881401137322         0.0009025980367165509      
756000                  -49681222.76944854        138422973.4524118         30758.35030113161         -28.5967108742134          -9.978754553410887         0.00087289196120377        
783000                  -50452581.54443964        138151433.252248          30781.46134130657         -28.54082628836794         -10.13527491408597         0.0008382139513214426      
810000                  -51222419.31793252        137875671.8494995         30803.56978027523         -28.48404486551032         -10.29143498672193         0.0007986394922148143      
837000                  -51990711.93864698        137595699.071751          30824.54466512054         -28.42637133342275         -10.44722740017216         0.0007542647690739202      
864000                  -52757435.38593968        137311524.9437923         30844.25792666525         -28.3678106413182          -10.60264491977078         0.000705207320846224       
891000                  -53522565.77582659        137023159.6837609         30862.58496564627         -28.30836796115566         -10.75768045949087         0.0006516067681814342      
