DefaultSC.ElapsedSecs   DefaultSC.SunMJ2000Ec.X   DefaultSC.SunMJ2000Ec.Y   DefaultSC.SunMJ2000Ec.Z   DefaultSC.SunMJ2000Ec.VX   DefaultSC.SunMJ2000Ec.VY   DefaultSC.SunMJ2000Ec.VZ   
0                       -26499033.62997609        144697296.8025357         -611.2061097249389        -29.7942600718126          -5.4692949302684           0.0001817445482783509      
13500                   -26901154.95965498        144622911.6979656         -608.7502394020557        -29.7792325218842          -5.550713628866427         0.0001820878608271848      
27000                   -27303071.88964928        144547427.723204          -606.289743706584         -29.76397865698021         -5.632090405765251         0.0001824297909078787      
40500                   -27704781.36551816        144470845.4485841         -603.824641302228         -29.74849859763293         -5.713424610648963         0.0001827703357815125      
54000                   -28106280.33446141        144393165.4532154         -601.354950889945         -29.7327924663594          -5.794715593568048         0.0001831094927204902      
67500                   -28507565.74534616        144314388.3249797         -598.8806912600994        -29.71686038766016         -5.87596270494608          0.0001834472590092062      
81000                   -28908634.54873369        144234514.6605253         -596.4018811732531        -29.70070248801807         -5.957165295586409         0.0001837836319431574      
94500                   -29309483.69690619        144153545.0652619         -593.9185394644737        -29.68431889589698         -6.038322716678863         0.0001841186088342717      
108000                  -29710110.14389345        144071480.1533558         -591.4306850135326        -29.66770974174043         -6.119434319806407         0.0001844521870024707      
121500                  -30110510.84549962        143988320.5477241         -588.9383367151022        -29.65087515797035         -6.200499456951834         0.0001847843637818869      
135000                  -30510682.75932989        143904066.8800293         -586.4415134936571        -29.63381527898569         -6.281517480504432         0.0001851151365168668      
148500                  -30910622.84481717        143818719.7906741         -583.9402343407273        -29.61653024116101         -6.36248774326665          0.000185444502566412       
162000                  -31310328.06324874        143732279.9287953         -581.434518262744         -29.59902018284512         -6.443409598460758         0.0001857724593015142      
175500                  -31709795.37779293        143644747.9522584         -578.9243842959404        -29.58128524435963         -6.524282399735507         0.0001860990041042676      
189000                  -32109021.75352571        143556124.5276518         -576.4098515212536        -29.5633255679975          -6.605105501172769         0.0001864241343714213      
202500                  -32508004.1574573         143466410.3302807         -573.8909390568733        -29.54514129802151         -6.685878257294187         0.0001867478475094941      
216000                  -32906739.55855877        143375606.0441614         -571.3676660358906        -29.52673258066281         -6.766600023067809         0.000187070140938328       
229500                  -33305224.92778857        143283712.3620151         -568.840051651001         -29.50809956411938         -6.847270153914725         0.0001873910120901989      
243000                  -33703457.2381191         143190729.9852615         -566.3081151098013        -29.48924239855442         -6.927888005715683         0.0001877104584124822      
256500                  -34101433.46456323        143096659.624013          -563.7718756720424        -29.47016123609479         -7.008452934817724         0.0001880284773609908      
270000                  -34499150.58420076        143001501.9970679         -561.2313526496291        -29.45085623082944         -7.088964298040775         0.0001883450664066366      
283500                  -34896605.57620493        142905257.8319045         -558.6865653246641        -29.43132753880767         -7.169421452684269         0.0001886602230309897      
297000                  -35293795.42186891        142807927.8646741         -556.1375330910087        -29.41157531803759         -7.249823756533741         0.0001889739447298311      
310500                  -35690717.10463215        142709512.8401946         -553.5842753276229        -29.39159972848431         -7.330170567867423         0.0001892862290118202      
324000                  -36087367.61010683        142610013.5119436         -551.0268114060164        -29.37140093206835         -7.410461245462824         0.000189597073397163       
337500                  -36483743.92610427        142509430.6420522         -548.4651608243585        -29.35097909266378         -7.490695148603319         0.0001899064754189439      
351000                  -36879843.04266124        142407765.0012974         -545.8993430659175        -29.33033437609653         -7.570871637084708         0.0001902144326240141      
364500                  -37275661.95206634        142305017.3690956         -543.3293776586652        -29.30946695014256         -7.650990071221802         0.0001905209425712151      
378000                  -37671197.64888631        142201188.5334953         -540.7552841454744        -29.28837698452607         -7.731049811854954         0.000190826002830935       
391500                  -38066447.1299923         142096279.2911702         -538.1770821213722        -29.26706465091765         -7.811050220356631         0.0001911296109877725      
405000                  -38461407.3945861         141990290.4474117         -535.5947911962867        -29.24553012293241         -7.890990658637948         0.0001914317646400932      
418500                  -38856075.44422649        141883222.8161219         -533.0084310323           -29.22377357612807         -7.970870489155202         0.0001917324613955884      
432000                  -39250448.28285534        141775077.219806          -530.4180213063955        -29.20179518800306         -8.050689074916402         0.000192031698878381       
445500                  -39644522.91682383        141665854.4895646         -527.8235817402601        -29.17959513799461         -8.13044577948779          0.0001923294747245841      
459000                  -40038296.35491861        141555555.4650867         -525.2251320704818        -29.15717360747669         -8.210139967000348         0.000192625786581857       
472500                  -40431765.60838799        141444180.9946413         -522.6226920932531        -29.1345307797581          -8.289771002156307         0.0001929206321116261      
486000                  -40824927.69096796        141331731.9350704         -520.016281619668         -29.11166684008044         -8.369338250235636         0.0001932140089886403      
499500                  -41217779.61890832        141218209.1517805         -517.4059204757214        -29.08858197561602         -8.448841077102538         0.0001935059148991947      
513000                  -41610318.41099871        141103613.5187351         -514.7916285470128        -29.06527637546585         -8.528278849211917         0.0001937963475460158      
526500                  -42002541.08859464        140987945.9184466         -512.1734257340431        -29.04175023065748         -8.607650933615858         0.000194085304640268       
540000                  -42394444.6756435         140871207.2419678         -509.5513319671154        -29.01800373414294         -8.68695669797008          0.0001943727839086584      
553500                  -42786026.19871047        140753398.3888845         -506.9253672063351        -28.99403708079658         -8.766195510540397         0.0001946587830907731      
567000                  -43177282.68700455        140634520.2673064         -504.2955514937639        -28.96985046741288         -8.845366740209157         0.0001949432999395206      
580500                  -43568211.17240438        140514573.7938592         -501.6619047895074        -28.94544409270428         -8.92446975648167          0.0001952263322202441      
594000                  -43958808.68948415        140393559.8936762         -499.0244472026825        -28.92081815729894         -9.00350392949265          0.0001955078777129415      
607500                  -44349072.27553946        140271479.5003892         -496.3831987977028        -28.89597286373852         -9.082468630012617         0.000195787934207825       
621000                  -44738998.97061313        140148333.5561208         -493.7381796687841        -28.87090841647592         -9.161363229454302         0.0001960664995097616      
634500                  -45128585.81752099        140024123.0114746         -491.089410007            -28.84562502187294         -9.240187099879067         0.0001963435714378292      
648000                  -45517829.8618776         139898848.8255275         -488.4369099736214        -28.82012288819801         -9.318939614003259         0.0001966191478230961      
661500                  -45906728.152122          139772511.9658198         -485.7806997597218        -28.79440222562384         -9.397620145204618         0.0001968932265099532      
675000                  -46295277.73954344        139645113.408347          -483.120799601078         -28.76846324622502         -9.476228067528627         0.0001971658053570025      
688500                  -46683475.67830696        139516654.1375503         -480.4572297781706        -28.74230616397567         -9.554762755694879         0.000197436882234836       
702000                  -47071319.02547909        139387135.1463077         -477.7900105416775        -28.71593119474701         -9.63322358510343          0.0001977064550295893      
715500                  -47458804.84105339        139256557.4359246         -475.1191622465849        -28.68933855630494         -9.711609931841112         0.0001979745216376116      
729000                  -47845930.18797605        139124922.0161246         -472.4447052404285        -28.66252846830751         -9.789921172687897         0.0001982410799685752      
742500                  -48232692.13217138        138992229.90504           -469.7666598856449        -28.63550115230254         -9.868156685123193         0.0001985061279490274      
756000                  -48619087.74256735        138858482.1292024         -467.085046581924         -28.60825683172499         -9.946315847332155         0.0001987696635157299      
769500                  -49005114.09112103        138723679.7235332         -464.3998857811093        -28.58079573189454         -10.02439803821198         0.000199031684620099       
783000                  -49390768.25284399        138587823.7313335         -461.7111979424954        -28.55311808001292         -10.10240263737821         0.0001992921892286503      
796500                  -49776047.30582774        138450915.2042753         -459.0190035104752        -28.5252241051614          -10.18032902517096         0.000199551175316337       
810000                  -50160948.33126901        138312955.2023904         -456.3233230412006        -28.49711403829816         -10.25817658266126         0.0001998086408767641      
823500                  -50545468.41349518        138173944.7940618         -453.6241770461202        -28.46878811225567         -10.33594469165723         0.0002000645839155268      
837000                  -50929604.63998949        138033885.0560125         -450.9215861111879        -28.440246561738           -10.41363273471036         0.0002003190024484347      
850500                  -51313354.10141628        137892777.0732966         -448.2155708298087        -28.41148962331817         -10.49124009512176         0.0002005718945090607      
864000                  -51696713.89164624        137750621.939288          -445.5061518251896        -28.38251753543543         -10.56876615694834         0.0002008232581420799      
877500                  -52079681.10778154        137607420.755671          -442.7933497279882        -28.35333053839256         -10.64621030500903         0.0002010730914054904      
891000                  -52462252.85018109        137463174.6324297         -440.0771852433682        -28.32392887435308         -10.723571924891           0.0002013213923759416      
904500                  -52844426.22248543        137317884.6878373         -437.3576790317893        -28.29431278733851         -10.80085040295581         0.000201568159133636       
918000                  -53226198.33164201        137171552.0484461         -434.6348518580198        -28.26448252322554         -10.87804512634562         0.0002018133897832009      
931500                  -53607566.28793009        137024177.8490764         -431.9087244346738        -28.23443832974325         -10.95515548298931         0.0002020570824368129      
945000                  -53988527.20498575        136875763.2328065         -429.179317548871         -28.20418045647021         -11.03218086160868         0.0002022992352204156      
958500                  -54369078.19982687        136726309.3509614         -426.4466520100832        -28.17370915483166         -11.10912065172454         0.0002025398462750516      
972000                  -54749216.39287798        136575817.3631019         -423.7107486352325        -28.14302467809659         -11.18597424366288         0.0002027789137546421      
985500                  -55128938.90799525        136424288.4370142         -420.971628293395         -28.11212728137486         -11.26274102856091         0.0002030164358259867      
999000                  -55508242.87249117        136271723.7486988         -418.2293118461967        -28.0810172216142          -11.33942039837327         0.0002032524106727607      
1012500                 -55887125.41715943        136118124.4823587         -415.4838201776147        -28.04969475759733         -11.41601174587803         0.0002034868364892972      
1026000                 -56265583.67629966        135963491.8303894         -412.7351742237806        -28.01816014993887         -11.49251446468279         0.0002037197114885814      
1039500                 -56643614.78774212        135807826.9933666         -409.9833949431777        -27.98641366108246         -11.56892794923075         0.0002039510338871509      
1053000                 -57021215.89287243        135651131.1800356         -407.2285033017397        -27.95445555529762         -11.64525159480678         0.0002041808019264124      
1066500                 -57398384.13665614        135493405.6072997         -404.4705202803016        -27.92228609867676         -11.7214847975434          0.0002044090138531018      
1080000                 -57775116.66766328        135334651.5002084         -401.7094669193029        -27.88990555913209         -11.79762695442686         0.0002046356679326067      
1093500                 -58151410.63809305        135174870.0919463         -398.9453642591834        -27.85731420639248         -11.87367746330314         0.0002048607624436372      
1107000                 -58527263.20379816        135014062.6238212         -396.1782333552837        -27.82451231200043         -11.94963572288394         0.0002050842956755616      
1120500                 -58902671.52430943        134852230.3452523         -393.4080953150988        -27.79150014930882         -12.02550113275263         0.000205306265935512       
1134000                 -59277632.76286009        134689374.5137586         -390.6349712237716        -27.75827799347784         -12.10127309337031         0.0002055266715457194      
1147500                 -59652144.08641026        134525496.394947          -387.8588822335005        -27.72484612147171         -12.17695100608168         0.0002057455108319672      
1161000                 -60026202.66567122        134360597.2625001         -385.0798494890332        -27.69120481205556         -12.25253427312102         0.0002059627821493493      
1174500                 -60399805.6751297         134194678.3981644         -382.2978941723704        -27.65735434579211         -12.32802229761813         0.000206178483852959       
1188000                 -60772950.29307214        134027741.0917378         -379.5130374953151        -27.62329500503849         -12.40341448360425         0.0002063926143209827      
1201500                 -61145633.70160893        133859786.6410582         -376.7253006696701        -27.58902707394291         -12.47871023601793         0.0002066051719431528      
1215000                 -61517853.08669851        133690816.3519902         -373.9347049370408        -27.55455083844135         -12.55390896071095         0.0002068161551180836      
1228500                 -61889605.6381715         133520831.5384134         -371.1412715762854        -27.51986658625433         -12.62901006445419         0.0002070255622657058      
1242000                 -62260888.54975478        133349833.5222098         -368.3450218513608        -27.48497460688343         -12.70401295494348         0.0002072333918174962      
1255500                 -62631699.01909551        133177823.6332509         -365.5459771007299        -27.44987519160805         -12.77891704080546         0.00020743964221559        
1269000                 -63002034.2477851         133004803.2093859         -362.7441586330533        -27.41456863348193         -12.8537217316034          0.0002076443119198856      
1282500                 -63371891.44138315        132830773.5964283         -359.9395877793431        -27.37905522732979         -12.92842643784301         0.0002078473994018282      
1296000                 -63741267.8094413         132655736.1481433         -357.1322859674692        -27.34333526974388         -13.0030305709783          0.0002080489031470734      
1309500                 -64110160.56552713        132479692.2262352         -354.3222745582461        -27.30740905908054         -13.0775335434173          0.0002082488216590406      
1323000                 -64478566.9272479         132302643.2003342         -351.5095749348402        -27.2712768954567          -13.15193476852785         0.0002084471534518073      
1336500                 -64846484.11627432        132124590.4479835         -348.6942085623741        -27.23493908074641         -13.2262336606434          0.0002086438970509974      
1350000                 -65213909.35836422        131945535.3546265         -345.8761968687177        -27.19839591857732         -13.30042963506869         0.0002088390510044391      
1363500                 -65580839.88338627        131765479.3135932         -343.0555613413453        -27.16164771432712         -13.37452210808554         0.0002090326138670662      
1377000                 -65947272.92534349        131584423.726087          -340.2323234528303        -27.12469477512002         -13.44851049695854         0.0002092245842080232      
1390500                 -66313205.72239685        131402370.001172          -337.4065047279           -27.08753740982312         -13.52239421994073         0.00020941496061333        
1404000                 -66678635.51688879        131219319.5557587         -334.5781266838312        -27.05017592904282         -13.59617269627932         0.000209603741680553       
1417500                 -67043559.55536663        131035273.8145914         -331.7472108826041        -27.01261064512122         -13.66984534622131         0.0002097909260250219      
1431000                 -67407975.088606          130850234.210234          -328.9137788712978        -26.97484187213248         -13.74341159101922         0.0002099765122745012      
1444500                 -67771879.37163425        130664202.183057          -326.0778522416949        -26.93686992587911         -13.81687085293663         0.0002101604990700778      
1458000                 -68135269.66375367        130477179.1812231         -323.239452585578         -26.89869512388831         -13.8902225552539          0.0002103428850652733      
1471500                 -68498143.2285648         130289166.6606741         -320.3986015319824        -26.8603177854083          -13.96346612227369         0.0002105236689304846      
1485000                 -68860497.33398962        130100166.0851167         -317.5553207248449        -26.8217382314045          -14.0366009793266          0.0002107028493520957      
1498500                 -69222329.25229469        129910178.9260086         -314.7096318230033        -26.7829567845559          -14.10962655277674         0.0002108804250244845      
1512000                 -69583636.26011433        129719206.6625448         -311.8615564778447        -26.74397376925119         -14.18254227002728         0.0002110563946624566      
1525500                 -69944415.63847359        129527250.7816429         -309.0111163854599        -26.70478951158501         -14.25534755952598         0.0002112307569896998      
1539000                 -70304664.67281131        129334312.7779299         -306.1583332791925        -26.66540433935417         -14.32804185077075         0.0002114035107467771      
1552500                 -70664380.65300308        129140394.153727          -303.3032288476825        -26.62581858205377         -14.40062457431511         0.0002115746546937913      
1566000                 -71023560.87338404        128945496.4190359         -300.4458248615265        -26.58603257087338         -14.47309516177376         0.0002117441875943982      
1579500                 -71382202.63277189        128749621.0915245         -297.5861430466175        -26.54604663869317         -14.54545304582795         0.0002119121082335695      
1593000                 -71740303.23448955        128552769.6965121         -294.7242051884532        -26.50586112008            -14.61769766023105         0.0002120784154096         
1606500                 -72097859.98638797        128354943.7669551         -291.860033094883         -26.46547635128354         -14.68982843981392         0.0002122431079332188      
1620000                 -72454870.20086882        128156144.8434324         -288.9936485439539        -26.42489267023231         -14.76184482049036         0.000212406184631142       
1633500                 -72811331.19490708        127956374.4741306         -286.1250733733177        -26.38411041652976         -14.83374623926252         0.0002125676443407443      
1647000                 -73167240.29007368        127755634.2148296         -283.2543294206262        -26.34312993145028         -14.90553213422632         0.000212727485919828       
1660500                 -73522594.81255804        127553925.6288874         -280.3814385309815        -26.30195155793522         -14.97720194457677         0.000212885708236854       
1674000                 -73877392.09319045        127351250.2872256         -277.5064225941896        -26.26057564058889         -15.04875511061337         0.0002130423101718293      
1687500                 -74231629.46746463        127147609.7683141         -274.6293034628034        -26.21900252567451         -15.12019107374547         0.0002131972906243007      
1701000                 -74585304.27555998        126943005.6581563         -271.7501030489802        -26.17723256111017         -15.19150927649752         0.0002133506485071379      
1714500                 -74938413.86236398        126737439.5502741         -268.8688432723284        -26.13526609646481         -15.26270916251447         0.0002135023827420923      
1728000                 -75290955.5774944         126530913.0456924         -265.9855460450053        -26.09310348295407         -15.33379017656701         0.000213652492274008       
1741500                 -75642926.77532147        126323427.7529242         -263.1002333015204        -26.0507450734362          -15.40475176455683         0.0002138009760539461      
1755000                 -75994324.81499015        126114985.2879552         -260.2129270285368        -26.00819122240799         -15.47559337352191         0.0002139478330516198      
1768500                 -76345147.06044208        125905587.2742281         -257.3236491680145        -25.96544228600055         -15.54631445164176         0.0002140930622509529      
1782000                 -76695390.88043766        125695235.3426279         -254.4324216842651        -25.92249862197521         -15.6169144482426          0.0002142366626483039      
1795500                 -77045053.64857809        125483931.1314654         -251.5392666086555        -25.87936058971932         -15.68739281380261         0.0002143786332560183      
1809000                 -77394132.74332732        125271676.2864627         -248.6442059352994        -25.83602855024205         -15.75774899995708         0.0002145189731006525      
1822500                 -77742625.54803373        125058472.4607365         -245.7472616732121        -25.79250286617015         -15.8279824595036          0.0002146576812211976      
1836000                 -78090529.45095211        124844321.3147832         -242.8484558910132        -25.74878390174378         -15.89809264640719         0.0002147947566752961      
1849500                 -78437841.8452653         124629224.5164625         -239.9478106051683        -25.70487202281218         -15.96807901580545         0.0002149301985276964      
1863000                 -78784560.12910605        124413183.7409819         -237.045347891748         -25.66076759682947         -16.03794102401367         0.0002150640058635744      
1876500                 -79130681.70557846        124196200.6708809         -234.1410898193717        -25.61647099285031         -16.10767812852989         0.0002151961777814293      
