DefaultSC.ElapsedSecs   DefaultSC.SSBMJ2000Ec.X   DefaultSC.SSBMJ2000Ec.Y   DefaultSC.SSBMJ2000Ec.Z   DefaultSC.SSBMJ2000Ec.VX   DefaultSC.SSBMJ2000Ec.VY   DefaultSC.SSBMJ2000Ec.VZ   
0                       -27302427.24599843        142836371.9658209         30231.31073094904         -29.48788670588764         -5.427588726527926         1.676421395302441e-05      
59.99999988125637       -27304196.51723168        142836046.2997472         30231.31173684448         -29.48782106826941         -5.427947061723522         1.676547863094235e-05      
244.1456676693633       -27309626.55318174        142835046.6655532         30231.31482449174         -29.48761959256844         -5.429046821247595         1.676935987049433e-05      
916.814476205036        -27329461.7074967         142831393.3639464         30231.32610949129         -29.48688326412556         -5.43306408668346          1.678353548406619e-05      
2795.134127733763       -27384845.56672351        142821177.7981948         30231.35767149925         -29.48482423839778         -5.444281117499665         1.68231008172981e-05       
7291.946768760681       -27517422.18338808        142796635.5123022         30231.43353463709         -29.47987717564985         -5.471132150940426         1.691772774004008e-05      
18321.40709847445       -27842501.96145014        142735928.7681655         30231.62140618265         -29.46763809525054         -5.536971033790298         1.714942462838209e-05      
45034.22033234965       -28629263.23528107        142585892.0838588         30232.08700697124         -29.43737619004619         -5.696313422134268         1.771065244060566e-05      
72034.22033234965       -29423649.45917593        142429919.2913718         30232.57290539146         -29.40589872788154         -5.857197635995833         1.828325795161234e-05      
99034.22033234965       -30217173.72145627        142269605.0078173         30233.07440936565         -29.37352736339956         -6.017904482975054         1.886768671477412e-05      
126034.2203323497       -31009811.90162866        142104954.0925684         30233.59192372114         -29.34026320321346         -6.17842874364397          1.947024818749199e-05      
153034.2203323497       -31801539.90949865        141935971.5458919         30234.12602113932         -29.30610738506435         -6.338765200896185         2.009706493533159e-05      
180034.2203323497       -32592333.68600998        141762662.5088807         30234.67743682861         -29.2710610777254          -6.498908640371642         2.075405096357841e-05      
207034.2203323497       -33382169.20408105        141585032.2633734         30235.2470626533          -29.23512548090265         -6.658853850880485         2.144689066518879e-05      
234034.2203323497       -34171022.4694388         141403086.2318632         30235.83594059199         -29.19830182513179         -6.818595624827031         2.218101838646902e-05      
261034.2203323497       -34958869.5214496         141216829.977395          30236.44525581598         -29.16059137167078         -6.978128758634885         2.296159859538349e-05      
288034.2203323497       -35745686.4339473         141026269.2034515         30237.07632896304         -29.12199541238791         -7.137448053174121         2.379350666270597e-05      
315034.2203323497       -36531449.31605812        140831409.7538267         30237.73060832173         -29.08251526964505         -7.296548314191429         2.468131028043885e-05      
342034.2203323497       -37316134.31302235        140632257.6124888         30238.40966106951         -29.04215229617624         -7.455424352744005         2.562925154458995e-05      
369034.2203323497       -38099717.60701271        140428818.9034311         30239.11516435444         -29.00090787496125         -7.614070985637875         2.664122973161653e-05      
396034.2203323497       -38882175.41794923        140221099.8905101         30239.84889578819         -28.95878341909416         -7.77248303587121          2.772078482271567e-05      
423034.2203323497       -39663484.00431046        140009106.9772731         30240.61272352189         -28.91578037164728         -7.930655333083128         2.887108183013964e-05      
450034.2203323497       -40443619.66394106        139792846.7067722         30241.40859596431         -28.87190020552999         -8.088582714008304         3.009489596195181e-05      
477034.2203323497       -41222558.73485542        139572325.7613668         30242.23853103072         -28.82714442334297         -8.246260022937646         3.139459871004391e-05      
504034.2203323497       -42000277.59603725        139347550.9625131         30243.10460501164         -28.7815145572279          -8.403682112185228         3.277214490049474e-05      
531034.2203323497       -42776752.66823518        139118529.2705411         30244.00894128531         -28.73501216871263         -8.560843842561507         3.422906079553201e-05      
558034.2203323497       -43551960.41475403        138885267.7844191         30244.95369853079         -28.68763884855211         -8.717740083852858         3.576643327374285e-05      
585034.2203323497       -44325877.34224171        138647773.7415043         30245.94105866551         -28.63939621656526         -8.874365715307366         3.738490019111751e-05      
612034.2203323497       -45098480.00147175        138406054.5172811         30246.97321474552         -28.59028592146776         -9.030715626126817         3.908464196422656e-05      
639034.2203323497       -45869744.9881212         138160117.6250854         30248.0523583889          -28.54030964070126         -9.186784715964778         4.0865374442145e-05        
666034.2203323497       -46639648.94354384        137909970.7158156         30249.18066722155         -28.48946908025823         -9.342567895430216         4.272634311197621e-05      
693034.2203323497       -47408168.55553874        137655621.5776302         30250.36029210687         -28.43776597450558         -9.498060086598507         4.466631876409721e-05      
720034.2203323497       -48175280.55911384        137397078.135631          30251.59334427863         -28.38520208600263         -9.65325622352665          4.668359457049576e-05      
747034.2203323497       -48940961.73724472        137134348.4515325         30252.88188239932         -28.33177920531693         -9.808151252774891         4.877598474228861e-05      
774034.2203323497       -49705188.92162835        136867440.7233177         30254.22789963335         -28.27749915083781         -9.962740133934508         5.094082477041795e-05      
801034.2203323497       -50467938.99343161        136596363.2848785         30255.63331083953         -28.22236376858715         -10.11701784016138         5.317497335433075e-05      
828034.2203323497       -51229188.88403492        136321124.6056422         30257.09993959963         -28.16637493202816         -10.27097935871556         5.547481607370841e-05      
855034.2203323497       -51988915.57577045        136041733.290184          30258.6295055598          -28.10953454187259         -10.42461969150703         5.783627089117616e-05      
882034.2203323497       -52747096.10265533        135758198.0778232         30260.22361197323         -28.05184452588679         -10.57793385564757         6.025479559124136e-05      
909034.2203323497       -53503707.55111934        135470527.8422057         30261.88373333216         -27.99330683869763         -10.73091688400898         6.272539724028192e-05      
936034.2203323497       -54258727.06072771        135178731.5908708         30263.61120335013         -27.93392346159887         -10.88356382578736         6.524264379192957e-05      
963034.2203323497       -55012131.82489837        134882818.4648027         30265.40720330179         -27.87369640235932         -11.03586974707337         6.780067796086087e-05      
990034.2203323497       -55763899.09161435        134582797.7379664         30267.27275075764         -27.81262769503386         -11.187829731428           7.039323350443993e-05      
1017034.22033235        -56514006.1641309         134278678.8168288         30269.20868881047         -27.75071939977921         -11.33943888046308         7.301365404988047e-05      
1044034.22033235        -57262430.4016779         133970471.2398626         30271.21567573398         -27.68797360267615         -11.4906923144255          7.565491463612517e-05      
1071034.22033235        -58009149.22015744        133658184.677036          30273.29417551309         -27.6243924155604          -11.64158517278364         7.830964612054459e-05      
1098034.22033235        -58754140.09283713        133341828.9292851         30275.44444875419         -27.5599779758647          -11.79211261481372         8.097016261388035e-05      
1125034.22033235        -59497380.55103914        133021413.927972          30277.66654466838         -27.49473244647526         -11.94226982018377         8.362849210730161e-05      
1152034.22033235        -60238848.18482574        132696949.7343257         30279.96029368788         -27.42865801560524         -12.0920519895314          8.627641042124878e-05      
1179034.22033235        -60978520.64368168        132368446.5388684         30282.32530122995         -27.36175689668934         -12.24145434503152         8.890547859152775e-05      
1206034.22033235        -61716375.63719403        132035914.6608268         30284.76094240695         -27.29403132830294         -12.3904721309489          9.1507083824105e-05        
1233034.22033235        -62452390.93573012        131699364.5475281         30287.26635792851         -27.22548357410986         -12.53910061416975         9.407248395731926e-05      
1260034.22033235        -63186544.37111461        131358806.7737826         30289.84045127779         -27.15611592284271         -12.68733508470565         9.659285551677499e-05      
1287034.22033235        -63918813.8373066         131014252.0412527         30292.48188717663         -27.08593068832001         -12.83517085616248         9.905934518172899e-05      
1314034.22033235        -64649177.29107751        130665711.17781           30295.18909148872         -27.01493020950355         -12.98260326616622         0.0001014631244986575      
1341034.22033235        -65377612.75269122        130313195.1368818         30297.96025272459         -26.94311685059973         -13.12962767673699         0.0001037954475409109      
1368034.22033235        -66104098.30658764        129956714.9967879         30300.79332504422         -26.87049300120715         -13.27623947460264         0.0001060477110810254      
1395034.22033235        -66828612.10207077        129596281.9600698         30303.68603292108         -26.79706107651289         -13.42243407144316         0.0001082115167330144      
1422034.22033235        -67551132.3540028         129231907.3528153         30306.6358775571          -26.72282351753786         -13.56820690405755         0.0001102787344064993      
1449034.22033235        -68271637.34350552        128863602.6239781         30309.64014498144         -26.64778279143103         -13.71355343444587         0.0001122415662484499      
1476034.22033235        -68990105.41867024        128491379.3446978         30312.69591590017         -26.57194139181043         -13.85846914980027         0.0001140926101550477      
1503034.22033235        -69706514.99527755        128115249.2076209         30315.80007719249         -26.49530183914744         -14.00294956240093         0.0001158249218562446      
1530034.22033235        -70420844.55752806        127735224.0262256         30318.94933507592         -26.41786668118919         -14.14699020941457         0.0001174320744903312      
1557034.22033235        -71133072.65878478        127351315.7341541         30322.14022991806         -26.33963849341221         -14.29058665259628         0.0001189082145289788      
1584034.22033235        -71843177.92232832        126963536.3845533         30325.36915228516         -26.26061987949903         -14.43373447789776         0.0001202481129904953      
1611034.22033235        -72551139.04212497        126571898.1494282         30328.63236057013         -26.18081347182812         -14.57642929498841         0.000121447210863046       
1638034.22033235        -73256934.78360826        126176413.3190089         30331.92599956691         -26.10022193196673         -14.71866673669817         0.0001225016578132454      
1665034.22033235        -73960543.98447345        125777094.301133          30335.24611998349         -26.01884795115578         -14.86044245839401         0.0001234083433896416      
1692034.22033235        -74661945.55548522        125373953.6206468         30338.58869885653         -25.93669425077538         -15.0017521373039          0.0001241649200975914      
1719034.22033235        -75361118.48129734        124967003.9188242         30341.94966030121         -25.85376358278084         -15.14259147180401         0.0001247698179884793      
1746034.22033235        -76058041.82128364        124556257.9528056         30345.32489658892         -25.77005873009921         -15.28295618068572         0.0001252222505838674      
1773034.22033235        -76752694.71037909        124141728.595057          30348.71028936654         -25.68558250697804         -15.42284200241959         0.0001255222122251709      
1800034.22033235        -77445056.3599295         123723428.8328477         30352.10173046589         -25.60033775927957         -15.56224469443257         0.0001256704671908082      
1827034.22033235        -78135106.05854859        123301371.7677489         30355.49514264613         -25.51432736471562         -15.70116003241418         0.0001256685310417893      
1854034.22033235        -78822823.17298013        122875570.6151488         30358.88649940491         -25.42755423302007         -15.83958380966526         0.0001255186449666823      
1881034.22033235        -79508187.14896445        122446038.7037855         30362.27184415609         -25.34002130605809         -15.97751183650099         0.0001252237438933435      
1908034.22033235        -80191177.51210645        122012789.4752949         30365.64730856568         -25.25173155787303         -16.1149399397173          0.0001247874193257559      
1935034.22033235        -80871773.86874469        121575836.4837725         30369.00912965834         -25.16268799467327         -16.25186396212735         0.0001242138778607682      
1962034.22033235        -81549955.9068187         121135193.3953457         30372.35366582871         -25.07289365476318         -16.38827976217212         0.0001235078963741643      
1989034.22033235        -82225703.39673433        120690873.9877569         30375.6774116531          -24.98235160842284         -16.52418321360663         0.0001226747748033219      
2016034.22033235        -82898996.19222485        120242892.1499532         30378.97701127082         -24.89106495774238         -16.65957020526131         0.0001217202874439494      
2043034.22033235        -83569814.23120703        119791261.8816814         30382.24927059561         -24.79903683641458         -16.79443664087815         0.0001206506353215175      
2070034.22033235        -84238137.5366315         119335997.2930874         30385.49116814882         -24.70627040950286         -16.9287784390066          0.0001194723913897633      
2097034.22033235        -84903946.21732602        118877112.6043167         30388.69986440986         -24.61276887317331         -17.06259153297399         0.0001181924552033919      
2124034.22033235        -85567220.46883157        118414622.1451153         30391.87271004915         -24.51853545440421         -17.19587187091307         0.0001168180080197701      
2151034.22033235        -86227940.57423011        117948540.3544288         30395.00725288689         -24.42357341068784         -17.32861541583307         0.0001153564635441029      
2178034.22033235        -86886086.9049643         117478881.7799998         30398.1012435481          -24.32788602971819         -17.46081814573893         0.0001138154234290312      
2205034.22033235        -87541639.92164877        117005661.0779601         30401.15263995528         -24.23147662907222         -17.59247605378849         0.0001122026347228911      
2232034.22033235        -88194580.17487243        116528893.0124199         30404.15961071849         -24.13434855588867         -17.72358514848118         0.0001105259493510147      
2259034.22033235        -88844888.30599247        116048592.4550503         30407.12053740025         -24.0365051865472          -17.85414145387231         0.0001087932856727036      
2286034.22033235        -89492545.04791951        115564774.3846605         30410.03401586413         -23.93794992635049         -17.98414100980734         0.0001070125921271981      
2313034.22033235        -90137531.22589424        115077453.8867676         30412.89885659516         -23.83868620921122         -18.11357987217134         0.0001051918128656126      
2340034.22033235        -90779827.75825582        114586646.1531605         30415.71408417821         -23.73871749734531         -18.24245411314905         0.0001033388553173253      
2367034.22033235        -91419415.65720186        114092366.4814561         30418.47893577069         -23.63804728097204         -18.37075982149196         0.0001014615595362756      
2394034.22033235        -92056276.02954073        113594630.2746483         30421.19285903871         -23.53667907802213         -18.49849310278906         9.956766922414317e-05      
2421034.22033235        -92690390.07743578        113093453.0406496         30423.85550916195         -23.43461643385311         -18.62565007973869         9.766480428652358e-05      
2448034.22033235        -93321739.09914218        112588850.3918259         30426.46674498916         -23.33186292097238         -18.7522268924193          9.576043472758755e-05      
2475034.22033235        -93950304.48973624        112080838.044523          30429.02662481368         -23.22842213876718         -18.87821969855761         9.386185581128359e-05      
2502034.22033235        -94576067.74183765        111569431.8185871         30431.53540125489         -23.12429771324068         -19.00362467379286         9.197616428746613e-05      
2529034.22033235        -95199010.4463246         111054647.6368773         30433.99351563305         -23.01949329675342         -19.12843801193647         9.011023561722453e-05      
2556034.22033235        -95819114.29304196        110536501.5247716         30436.40159160644         -22.91401256776888         -19.25265592522666         8.827070201622433e-05      
2583034.22033235        -96436361.07150266        110015009.609666          30438.76042847335         -22.80785923060201         -19.37627464457796         8.646393125921748e-05      
2610034.22033235        -97050732.67158233        109490188.1204669         30441.07099360228         -22.70103701516938         -19.49929041982582         8.469600616400896e-05      
2637034.22033235        -97662211.08420713        108962053.387077          30443.33441453427         -22.59354967673957         -19.62169951996674         8.297270464296958e-05      
2664034.22033235        -98270778.40203497        108430621.8398748         30445.55197045207         -22.48540099568231         -19.74349823339461         8.129948033186452e-05      
2691034.22033235        -98876416.82012974        107895910.0091877         30447.72508325428         -22.37659477721495         -19.86468286813411         7.968144371872654e-05      
2718034.22033235        -99479108.6366287         107357934.5247586         30449.85530795157         -22.26713485114476         -19.98524975207209         7.81233437985307e-05       
2745034.22033235        -100078836.253403         106816712.1152071         30451.94432268292         -22.15702507160554         -20.10519523318812         7.662955020748541e-05      
2772034.22033235        -100675582.1767106        106272259.6074831         30453.99391829222         -22.04626931678737         -20.22451567978533         7.520403595506764e-05      
2799034.22033235        -101269329.0178425        105724593.9263156         30456.00598730147         -21.93487148865778         -20.34320748072283         7.385036068985329e-05      
2826034.22033235        -101860059.4937604        105173732.0936543         30457.98251261562         -21.82283551267341         -20.46126704565093         7.257165463414594e-05      
2853034.22033235        -102447756.427727         104619691.2281047         30459.92555566132         -21.7101653374808          -20.5786908052505          7.137060326822819e-05      
2880034.22033235        -103032402.7499283        104062488.5443574         30461.83724424243         -21.59686493460537         -20.6954752114777          7.024943280420359e-05      
2907034.22033235        -103613981.4980864        103502141.3526102         30463.7197598815          -21.48293829812768         -20.81161673781519         6.920989661196586e-05      
2934034.22033235        -104192475.8180647        102938667.0579834         30465.57532491535         -21.36838944434615         -20.92711187953112         6.825326265591514e-05      
2961034.22033235        -104767868.9644622        102372083.1599278         30467.40618927777         -21.25322241142581         -21.0419571539468          6.738030215913682e-05      
2988034.22033235        -105340144.3011999        101802407.2516257         30469.21461684257         -21.13744125903253         -21.15614910071393         6.659127953945188e-05      
3015034.22033235        -105909285.3020954        101229657.0193843         30471.00287171453         -21.02105006795274         -21.2696842821024          6.588594377809898e-05      
3042034.22033235        -106475275.5514285        100653850.2420206         30472.77320418507         -20.9040529396983          -21.38255928329903         6.526352143598757e-05      
3069034.22033235        -107038098.7444949        100075004.790239          30474.52783655375         -20.78645399609707         -21.49477071271788         6.472271132285101e-05      
3096034.22033235        -107597738.6881491        99493138.62599915         30476.26894877106         -20.66825737886921         -21.60631520232255         6.426168110706954e-05      
3123034.22033235        -108154179.3013359        98908269.80187632         30477.99866420776         -20.54946724918999         -21.71718940796048         6.387806586882761e-05      
3150034.22033235        -108707404.6156093        98320416.46041149         30479.71903513372         -20.43008778723957         -21.82739000970941         6.356896881332119e-05      
3177034.22033235        -109257398.7756394        97729596.83345234         30481.43202849478         -20.31012319174078         -21.93691371223592         6.333096422572737e-05      
3204034.22033235        -109804146.039707         97135829.24148451         30483.13951165229         -20.18957767948576         -22.04575724516571         6.316010277984674e-05      
3231034.22033235        -110347630.7801849        96539132.09295258         30484.84323831648         -20.06845548485251         -22.15391736346539         6.305191927857834e-05      
